zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CST,7695154800,-21600,0
America/Chicago,US,CDT,7706044800,-18000,1
America/Chicago,US,CST,7726604400,-21600,0
America/Chicago,US,CDT,7737494400,-18000,1
America/Chicago,US,CST,7758054000,-21600,0
America/Chicago,US,CDT,7768944000,-18000,1
America/Chicago,US,CST,7789503600,-21600,0
America/Chicago,US,CDT,7800393600,-18000,1
America/Chicago,US,CST,7820953200,-21600,0
America/Chicago,US,CDT,7831843200,-18000,1
America/Chicago,US,CST,7852402800,-21600,0
America/Chicago,US,CDT,7863897600,-18000,1
America/Chicago,US,CST,7884457200,-21600,0
America/Chicago,US,CDT,7895347200,-18000,1
America/Chicago,US,CST,7915906800,-21600,0
America/Chicago,US,CDT,7926796800,-18000,1
America/Chicago,US,CST,7947356400,-21600,0
America/Chicago,US,CDT,7958246400,-18000,1
America/Chicago,US,CST,7978806000,-21600,0
America/Chicago,US,CDT,7989696000,-18000,1
America/Chicago,US,CST,8010255600,-21600,0
America/Chicago,US,CDT,8021750400,-18000,1
America/Chicago,US,CST,8042310000,-21600,0
America/Chicago,US,CDT,8053200000,-18000,1
America/Chicago,US,CST,8073759600,-21600,0
America/Chicago,US,CDT,8084649600,-18000,1
America/Chicago,US,CST,8105209200,-21600,0
America/Chicago,US,CDT,8116099200,-18000,1
America/Chicago,US,CST,8136658800,-21600,0
America/Chicago,US,CDT,8147548800,-18000,1
America/Chicago,US,CST,8168108400,-21600,0
America/Chicago,US,CDT,8178998400,-18000,1
America/Chicago,US,CST,8199558000,-21600,0
America/Chicago,US,CDT,8211052800,-18000,1
America/Chicago,US,CST,8231612400,-21600,0
America/Chicago,US,CDT,8242502400,-18000,1
America/Chicago,US,CST,8263062000,-21600,0
America/Chicago,US,CDT,8273952000,-18000,1
America/Chicago,US,CST,8294511600,-21600,0
America/Chicago,US,CDT,8305401600,-18000,1
America/Chicago,US,CST,8325961200,-21600,0
America/Chicago,US,CDT,8336851200,-18000,1
America/Chicago,US,CST,8357410800,-21600,0
America/Chicago,US,CDT,8368300800,-18000,1
America/Chicago,US,CST,8388860400,-21600,0
America/Chicago,US,CDT,8400355200,-18000,1
America/Chicago,US,CST,8420914800,-21600,0
America/Chicago,US,CDT,8431804800,-18000,1
America/Chicago,US,CST,8452364400,-21600,0
America/Chicago,US,CDT,8463254400,-18000,1
America/Chicago,US,CST,8483814000,-21600,0
America/Chicago,US,CDT,8494704000,-18000,1
America/Chicago,US,CST,8515263600,-21600,0
America/Chicago,US,CDT,8526153600,-18000,1
America/Chicago,US,CST,8546713200,-21600,0
America/Chicago,US,CDT,8558208000,-18000,1
America/Chicago,US,CST,8578767600,-21600,0
America/Chicago,US,CDT,8589657600,-18000,1
America/Chicago,US,CST,8610217200,-21600,0
America/Chicago,US,CDT,8621107200,-18000,1
America/Chicago,US,CST,8641666800,-21600,0
America/Chicago,US,CDT,8652556800,-18000,1
America/Chicago,US,CST,8673116400,-21600,0
America/Chicago,US,CDT,8684006400,-18000,1
America/Chicago,US,CST,8704566000,-21600,0
America/Chicago,US,CDT,8715456000,-18000,1
